iso3,year_1
ARM,0
AFG,0
ALB,0
DZA,0
ATG,0
ARG,-0.2273
AUS,0.3838
AUT,0.0975
BHS,0
BHR,0
BRB,0
BGD,0
BMU,0
BTN,0
BOL,0
BWA,0
BRA,0
ARB,0
BLZ,0
SLB,0
BRN,0
BGR,0.0975
MMR,0
BDI,0
CMR,0
CAN,0.1896
CPV,0
CAF,0
LKA,0
TCD,0
CHL,0
CHN,-0.0296
COL,0
COM,0
COG,0
COK,0
CRI,0
CUB,0
CYP,0.0975
AZE,0
BEN,0
DNK,0.0975
DMA,0
DOM,0
BLR,0
ECU,0
EGY,0
SLV,0
GNQ,0
EST,0.0975
FRO,0
FJI,0
FIN,0.0975
FRA,0.0975
PYF,0
DJI,0
GEO,0
GAB,0
GMB,0
DEU,0.0975
BIH,0
GHA,0
KIR,0
GRC,0.0975
GRL,0
GRD,0
GTM,0
GIN,0
GUY,0
HTI,0
HND,0
HKG,0
HUN,0.0975
HRV,0.0975
ISL,0
IND,0.007
IDN,0
IRN,-0.0314
IRQ,0
IRL,0.0975
ISR,0
ITA,0.0975
CIV,0
KAZ,0
JAM,0
JPN,0
JOR,0
KGZ,0
KEN,0.2047
KHM,0
PRK,0
KOR,0
KWT,0
LVA,0.0975
LAO,0
LBN,0
LSO,0
LBR,0
LBY,0
LTU,0.0975
MAC,0
MDG,0
MWI,0
MYS,0
MDV,0
MLI,0
MLT,0.0975
MRT,0
MUS,0
MEX,0
MNG,0
MAR,0
MOZ,0
MDA,0
NAM,0
NPL,0.0265
NLD,0.0975
ANT,0
NCL,0
MKD,0
VUT,0
NZL,0
NIC,0
NER,0
NGA,0
NOR,0
PAK,-0.0765
PAN,0
CZE,0.0975
PNG,0
PRY,0
PER,0
PHL,0
POL,0.0975
PRT,0.0975
GNB,0
TLS,0
ERI,0
QAT,0
ZWE,0
ROU,0.0975
RWA,0
RUS,0.0009
KNA,0
LCA,0
VCT,0
STP,0
SAU,0.0042
SEN,0
SYC,0
SLE,0
SVN,0.0975
SVK,0.0975
SGP,0
SOM,0
ZAF,0
ESP,0.0975
SUR,0
TJK,0
SWZ,0
SWE,0.0975
CHE,0
SYR,0
TKM,0
TWN,0
TZA,0
THA,0
TGO,0
TON,0
TTO,0
OMN,0
TUN,0
TUR,0
ARE,0
UGA,-0.0373
TUV,0
GBR,0.0975
UKR,0.1834
USA,0.0456
BFA,0
URY,0
UZB,0
VEN,0
VNM,0
ETH,0.035
YEM,-0.0117
COD,0
ZMB,0
BEL,0.0975
LUX,0.0975
SRB,0
MNE,0
SDN,-0.0965
SSD,0
PSE,0
